"table","family","n_variables"
"annual_site_year","discharge_summary",1
"annual_site_year","evapotranspiration",1
"annual_site_year","flow_regime",6
"annual_site_year","greenup",4
"annual_site_year","npp",1
"annual_site_year","other",1
"annual_site_year","precipitation",1
"annual_site_year","site_id",6
"annual_site_year","snow",2
"annual_site_year","temperature",1
"site_average","climate_context",3
"site_average","discharge_summary",11
"site_average","evapotranspiration",12
"site_average","flow_regime",6
"site_average","land_cover",12
"site_average","lithology",6
"site_average","other",1
"site_average","permafrost",4
"site_average","precipitation",12
"site_average","site_average_annual_summary",24
"site_average","site_id",6
"site_average","snow",24
"site_average","soil",13
"site_average","temperature",12
"site_average","topography",9
"wide_site","climate_context",3
"wide_site","discharge_summary",11
"wide_site","evapotranspiration",37
"wide_site","flow_regime",6
"wide_site","greenup",48
"wide_site","land_cover",12
"wide_site","lithology",6
"wide_site","npp",25
"wide_site","permafrost",4
"wide_site","precipitation",59
"wide_site","site_id",6
"wide_site","snow",76
"wide_site","soil",13
"wide_site","temperature",91
"wide_site","topography",9
