"Year","Month","Year_Month","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC"
1995,"06","1995-06",15.76,0.71,0.22,0.11,0.67,-888.888,-888.888,-888.888,-888.88,0.02,4.61,0.01,0.53,0.008,8.88,-888.88,0.31,-888.88,4.85,-888.88,-888.88,-888.88,0.0423,4.37,21.21,-41.01
1995,"07","1995-07",24.308,0.79,0.27,0.12,0.84,-888.888,-888.888,-888.888,-888.88,0.022,5.24,0.01,0.56,0.008,9.28,-888.88,0.2,-888.88,6.77,-888.88,-888.88,-888.88,0.0405,4.39,23.21,-54.91
1995,"08","1995-08",90.562,0.71,0.23,0.07,0.63,-888.888,-888.888,-888.888,-888.88,0.025,4.96,0.01,0.49,0.008,10.03,-888.88,0.22,-888.88,5.97,-888.88,-888.88,-888.88,0.0517,4.29,25.57,-58.18
1995,"09","1995-09",9.786,0.95,0.34,0.23,1.19,-888.888,-888.888,-888.888,-888.88,0.028,5.59,0.01,0.59,0.006,6.47,-888.88,0.15,-888.88,9.22,-888.88,-888.88,-888.88,0.0183,4.74,18.92,-25.46
1995,"10","1995-10",196.455,0.72,0.25,0.15,0.7,-888.888,-888.888,-888.888,-888.88,0.017,5.1,0.01,0.83,0.005,9.51,-888.88,0.21,-888.88,6.29,-888.88,-888.88,-888.88,0.0474,4.32,24.11,-58.17
1995,"11","1995-11",153.829,0.64,0.2,0.11,0.61,-888.888,-888.888,-888.888,-888.88,0.02,4.44,0.012,0.84,0.005,7.95,-888.88,0.19,-888.88,4.81,-888.88,-888.88,-888.88,0.0403,4.39,22.27,-47.6
1995,"12","1995-12",9.916,0.8,0.27,0.17,0.85,-888.888,-888.888,-888.888,-888.88,0.014,4.65,0.142,0.65,0.004,4.91,-888.88,0.16,-888.88,6.38,-888.88,-888.88,-888.88,0.0181,4.74,17.06,-19.29
1996,"01","1996-01",170.241,0.71,0.24,0.15,0.7,-888.888,-888.888,-888.888,-888.88,0.012,4.44,0.421,0.66,0.004,6.02,-888.88,0.16,-888.88,5.04,-888.88,-888.88,-888.88,0.031,4.51,19.86,-46.67
1996,"02","1996-02",83.146,0.78,0.25,0.27,1.11,-888.888,-888.888,-888.888,-888.88,0.012,4.58,0.565,1.23,0.004,6.08,-888.88,0.23,-888.88,5.35,-888.88,-888.88,-888.88,0.0244,4.61,22.29,-38.17
1996,"03","1996-03",18.943,0.75,0.25,0.16,0.74,-888.888,-888.888,-888.888,-888.88,0.005,4.6,0.32,0.7,0.003,5.12,-888.88,0.17,-888.88,5.63,-888.88,-888.88,-888.88,0.0227,4.64,20.35,-25.09
1996,"04","1996-04",251.542,0.54,0.18,0.13,0.53,-888.888,-888.888,-888.888,-888.88,0.005,3.83,0.294,0.65,0.006,7.67,-888.88,0.18,-888.88,3.14,-888.88,-888.88,-888.88,0.036,4.44,22.64,-48.57
1996,"05","1996-05",273.914,0.46,0.14,0.09,0.42,-888.888,-888.888,-888.888,-888.88,0.011,3.32,0.082,0.53,0.006,7.81,-888.88,0.15,-888.88,2.47,-888.88,-888.88,-888.88,0.0326,4.49,20.29,-46.34
1996,"06","1996-06",68.706,0.6,0.19,0.1,0.63,-888.888,-888.888,-888.888,-888.88,0.013,3.76,0.01,0.49,0.007,9.23,-888.88,0.16,0.39,4.53,-888.88,-888.88,-888.88,0.0363,4.44,21.77,-48.67
1996,"07","1996-07",170.499,0.56,0.16,0.05,0.54,-888.888,-888.888,-888.888,-888.88,0.005,3.72,0.01,0.23,0.008,11.09,-888.88,0.2,0.44,4.6,-888.88,-888.88,-888.88,0.0455,4.34,24.32,-54.59
1996,"08","1996-08",5.037,0.73,0.22,0.12,0.9,-888.888,-888.888,-888.888,-888.88,0.005,4.36,0.01,0.34,0.005,7,-888.88,0.15,0.58,6.94,-888.88,-888.88,-888.88,0.024,4.62,20.33,-25.58
1996,"09","1996-09",2.918,1.01,0.36,0.38,1.4,-888.888,-888.888,-888.888,-888.88,0.015,5.41,0.01,0.59,0.007,7.7,-888.88,0.16,0.97,10.05,-888.88,-888.88,-888.88,0.0158,4.8,20.75,-26.13
1996,"10","1996-10",95.15,0.58,0.22,0.33,0.63,-888.888,-888.888,-888.888,-888.88,0.006,4.27,0.01,0.68,0.008,11.85,-888.88,0.25,0.53,4.92,-888.88,-888.88,-888.88,0.0677,4.17,28.78,-70.02
1996,"11","1996-11",107.635,0.67,0.22,0.15,0.69,-888.888,-888.888,-888.888,-888.88,0.006,4.47,0.014,0.72,0.005,7.34,-888.88,0.14,0.42,5.42,-888.88,-888.88,-888.88,0.0396,4.4,22.81,-53.04
1996,"12","1996-12",157.048,0.55,0.18,0.13,0.56,-888.888,-888.888,-888.888,-888.88,0.02,3.79,0.136,0.51,0.009,8.43,-888.88,0.16,0.46,3.76,-888.88,-888.88,-888.88,0.043,4.37,22.33,-58.77
1997,"01","1997-01",21.191,0.67,0.23,0.14,0.67,-888.888,-888.888,-888.888,-888.88,0.012,4.57,0.313,0.45,0.002,6.49,-888.88,0.19,0.54,4.99,-888.88,-888.88,-888.88,0.0424,4.37,21.96,-42.85
1997,"02","1997-02",27.019,0.7,0.24,0.16,0.72,-888.888,-888.888,-888.888,-888.88,0.007,4.59,0.424,0.43,0.003,6.3,-888.88,0.16,0.53,5.46,-888.88,-888.88,-888.88,0.0434,4.36,21.82,-44.83
1997,"03","1997-03",42.435,0.69,0.23,0.16,0.69,-888.888,-888.888,-888.888,-888.88,0.008,4.72,0.478,0.42,0.003,6.41,-888.88,0.15,0.47,5.23,-888.88,-888.88,-888.88,0.0536,4.27,22.79,-41.7
1997,"04","1997-04",143.141,0.56,0.19,0.13,0.57,-888.888,-888.888,-888.888,-888.88,0.008,4.37,0.406,0.31,0.003,7.59,-888.88,0.16,0.49,3.99,-888.88,-888.88,-888.88,0.054,4.27,23.82,-52.33
1997,"05","1997-05",275.204,0.47,0.15,0.1,0.45,-888.888,-888.888,-888.888,-888.88,0.005,3.61,0.144,0.21,0.004,8.29,-888.88,0.17,0.51,2.9,-888.88,-888.88,-888.88,0.0466,4.33,21.42,-46.71
1997,"06","1997-06",29.103,0.65,0.21,0.15,0.69,-888.888,-888.888,-888.888,-888.88,0.029,3.89,0.01,0.29,0.004,6.93,-888.88,0.16,0.39,4.74,-888.88,-888.88,-888.88,0.0245,4.61,19.44,-34.28
1997,"07","1997-07",81.245,0.68,0.22,0.11,0.72,-888.888,-888.888,-888.888,-888.88,0.017,4.06,0.01,0.29,0.005,7.99,-888.88,0.14,0.54,6.04,-888.88,-888.88,-888.88,0.0329,4.48,21.51,-44.55
1997,"08","1997-08",27.547,0.73,0.23,0.12,0.81,-888.888,-888.888,-888.888,-888.88,0.006,4.67,0.014,0.32,0.007,9.72,-888.88,0.21,0.65,7.17,-888.88,-888.88,-888.88,0.0366,4.44,23.69,-55.6
1997,"09","1997-09",14.303,0.73,0.24,0.17,0.84,-888.888,-888.888,-888.888,-888.88,0.018,4.5,0.01,0.37,0.005,7.52,-888.88,0.16,0.52,7.4,-888.88,-888.88,-888.88,0.0294,4.53,21.62,-40.08
1997,"10","1997-10",19.931,0.71,0.26,0.21,0.82,-888.888,-888.888,-888.888,-888.88,0.027,4.87,0.01,0.44,0.005,8.86,-888.88,0.23,0.47,7.36,-888.88,-888.88,-888.88,0.0368,4.43,23.73,-54.77
1997,"11","1997-11",107.75,0.67,0.23,0.16,0.67,-888.888,-888.888,-888.888,-888.88,0.013,4.81,0.015,0.53,0.006,9.55,-888.88,0.27,0.36,5.84,-888.88,-888.88,-888.88,0.0436,4.36,27.16,-65.38
1997,"12","1997-12",9.721,0.81,0.27,0.16,0.91,-888.888,-888.888,-888.888,-888.88,0.012,4.72,0.157,0.47,0.003,5.12,-888.88,0.21,0.47,7.33,-888.88,-888.88,-888.88,0.0188,4.73,18.62,-23.1
1998,"01","1998-01",67.746,0.66,0.24,0.12,0.64,-888.888,-888.888,-888.888,-888.88,0.005,4.82,0.536,0.42,0.005,7.68,-888.88,0.23,0.38,5.44,-888.88,-888.88,-888.88,0.0431,4.37,24.98,-48.11
1998,"02","1998-02",29.986,0.75,0.25,0.17,0.79,-888.888,-888.888,-888.888,-888.88,0.005,4.79,0.302,0.43,0.003,5.98,-888.88,0.14,0.48,6.62,-888.88,-888.88,-888.88,0.0241,4.62,20.26,-32.27
1998,"03","1998-03",169.929,0.58,0.2,0.13,0.57,-888.888,-888.888,-888.888,-888.88,0.018,4.04,0.371,0.27,0.005,7.66,-888.88,0.12,0.45,4.41,-888.88,-888.88,-888.88,0.0382,4.42,22.19,-48.96
1998,"04","1998-04",180.041,0.48,0.16,0.1,0.45,-888.888,-888.888,-888.888,-888.88,0.007,3.57,0.172,0.21,0.007,8.95,-888.88,0.14,0.37,3.52,-888.88,-888.88,-888.88,0.0427,4.37,20.55,-50.62
1998,"05","1998-05",69.508,0.53,0.17,0.1,0.49,-888.888,-888.888,-888.888,-888.88,0.005,3.63,0.01,0.24,0.008,10.28,-888.88,0.17,0.38,3.88,-888.88,-888.88,-888.88,0.0436,4.36,21.35,-49.57
1998,"06","1998-06",239.328,0.59,0.18,0.11,0.54,-888.888,-888.888,-888.888,-888.88,0.005,3.43,0.01,0.22,0.007,11.47,-888.88,0.21,0.36,4.36,-888.88,-888.88,-888.88,0.0435,4.36,21.19,-56.09
1998,"07","1998-07",63.182,0.62,0.18,0.1,0.57,-888.888,-888.888,-888.888,-888.88,0.005,3.53,0.01,0.25,0.006,13.24,-888.88,0.22,0.35,5.15,-888.88,-888.88,-888.88,0.0492,4.31,22.26,-50.35
1998,"08","1998-08",14.912,0.78,0.24,0.19,0.82,-888.888,-888.888,-888.888,-888.88,0.007,4.26,0.012,0.44,0.012,15.19,-888.88,0.32,0.5,7.94,-888.88,-888.88,-888.88,0.0481,4.32,26.01,-47.38
1998,"09","1998-09",15.898,0.74,0.26,0.27,1.05,-888.888,-888.888,-888.888,-888.88,0.005,4.23,0.01,0.46,0.008,9.24,-888.88,0.21,0.55,8.75,-888.88,-888.88,-888.88,0.0243,4.61,18.42,-32.95
1998,"10","1998-10",83.413,0.67,0.23,0.21,0.68,-888.888,-888.888,-888.888,-888.88,0.005,4.53,0.01,0.53,0.011,12.58,-888.88,0.22,0.38,6.83,-888.88,-888.88,-888.88,0.0585,4.23,26.3,-62.68
1998,"11","1998-11",55.692,0.65,0.23,0.14,0.76,-888.888,-888.888,-888.888,-888.88,0.005,4.62,0.126,0.52,0.004,8.38,-888.88,0.19,0.43,7,-888.88,-888.88,-888.88,0.038,4.42,21.9,-51.76
1998,"12","1998-12",69.126,0.65,0.23,0.14,0.71,-888.888,-888.888,-888.888,-888.88,0.005,4.63,0.191,0.47,0.006,8.83,-888.88,0.2,0.41,6.36,-888.88,-888.88,-888.88,0.053,4.28,23.61,-51.87
1999,"01","1999-01",88.386,0.54,0.23,0.22,0.53,-888.888,-888.888,-888.888,-888.88,0.005,4.15,0.788,0.36,0.009,9.97,-888.88,0.2,0.45,4.05,-888.88,-888.88,-888.88,0.0512,4.29,26.4,-57.56
1999,"02","1999-02",21.138,0.73,0.25,0.18,0.7,-888.888,-888.888,-888.888,-888.88,0.005,4.43,0.568,0.37,0.004,7.05,-888.88,0.12,0.42,5.76,-888.88,-888.88,-888.88,0.0283,4.55,20.61,-38.17
1999,"03","1999-03",111.141,0.57,0.21,0.22,0.55,-888.888,-888.888,-888.888,-888.88,0.005,3.86,0.829,0.54,0.01,10.25,-888.88,0.18,0.42,3.68,-888.88,-888.88,-888.88,0.0478,4.32,24.94,-53.5
1999,"04","1999-04",162.924,0.61,0.19,0.16,0.55,-888.888,-888.888,-888.888,-888.88,0.005,3.78,0.461,0.39,0.007,9.27,-888.88,0.14,0.36,3.85,-888.88,-888.88,-888.88,0.0438,4.36,22.1,-45.5
1999,"05","1999-05",153.242,0.51,0.17,0.24,0.55,-888.888,-888.888,-888.888,-888.88,0.019,3.11,0.067,0.33,0.019,13.12,-888.88,0.22,0.35,2.92,-888.88,-888.88,-888.88,0.0456,4.34,21.89,-49.4
