"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","ALBION",1982,1982-02-11,"DNS","6.6","30","108.17","NP","NP","0.25","NP","219.56","29.61","19.14","28.13","14.105","NP","110.346","NP","83.2","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-04-08,"DNS","6.65","21","129.48","NP","NP","0.22","NP","149.7","26.32","26.1","5.11","5.924","NP","62.252","NP","34.944","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-04-22,"DNS","6.1","21","109.81","NP","NP","0.79","NP","149.7","32.9","21.75","6.39","5.924","NP","54.34","NP","53.248","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-05-06,"DNS","6.4","25","108.17","NP","NP","0.4","NP","159.68","32.9","32.62","10.23","22.568","NP","102.018","NP","54.08","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-05-20,"DNS","6.3","26","108.17","NP","NP","0.5","NP","154.69","34.55","39.15","7.67","2.821","NP","72.87","NP","54.912","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-05-27,"DNS","6.5","26","119.65","NP","NP","0.32","NP","164.67","35.37","41.32","7.67","25.389","NP","85.362","NP","66.56","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-06-03,"DNS","6.2","23","108.17","NP","NP","0.63","NP","144.71","32.08","34.8","7.67","5.924","NP","81.198","NP","56.576","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-06-08,"DNS","6.3","20","90.15","NP","NP","0.5","NP","124.75","27.97","34.8","6.9","18.337","NP","77.034","NP","54.912","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-06-16,"DNS","6.3","21.9","90.15","NP","NP","0.5","NP","119.76","27.97","34.8","6.39","23.132","NP","79.116","NP","53.248","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-06-24,"DNS","6.5","20.1","99.98","NP","NP","0.32","NP","129.74","22.21","31.75","5.63","21.157","NP","47.886","NP","38.771","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-07-01,"DNS","6.5","18.5","99.98","NP","NP","0.32","NP","124.75","19.74","21.75","6.14","18.337","NP","46.637","NP","34.944","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-07-08,"DNS","6.6","20.2","99.98","NP","NP","0.25","NP","124.75","20.57","21.75","5.37","18.619","NP","47.886","NP","37.274","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-07-15,"DNS","6.6","19.8","99.98","NP","NP","0.25","NP","124.75","19.74","20.45","5.63","18.619","NP","48.511","NP","26.957","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-07-29,"DNS","6.7","18","88.51","NP","NP","0.2","NP","102.79","18.1","18.7","6.39","17.208","NP","48.511","NP","19.968","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-08-12,"DNS","6.6","20.4","99.98","NP","NP","0.25","NP","106.79","18.1","28.28","9.21","18.619","NP","48.719","NP","19.968","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-08-26,"DNS","6.8","19.2","98.34","NP","NP","0.16","NP","105.79","24.68","27.84","5.63","5.642","NP","44.971","NP","20.8","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-09-17,"DNS","6.8","20.4","104.9","NP","NP","0.16","NP","119.76","26.32","26.1","5.63","4.514","NP","46.637","NP","23.296","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-10-01,"DNS","6.9","22.2","104.9","NP","NP","0.13","NP","119.76","27.15","28.71","5.37","3.385","NP","48.302","NP","26.624","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-10-15,"DNS","6.8","19.2","99.98","NP","NP","0.16","NP","127.74","28.79","27.84","5.63","3.667","NP","51.425","NP","33.28","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-11-19,"DNS","6.9","23.2","111.45","NP","NP","0.13","NP","147.21","31.26","31.32","5.88","3.949","NP","56.839","NP","36.608","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1982,1982-12-16,"DNS","6.9","24","111.45","NP","NP","0.13","NP","189.62","36.19","43.94","8.44","3.949","NP","57.88","NP","41.6","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-01-13,"DNS","6.5","24.3","81.95","NP","NP","0.32","NP","211.58","38.66","46.55","8.69","4.514","NP","63.085","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-02-17,"DNS","6.5","26.5","81.95","NP","NP","0.32","NP","216.07","38.66","46.98","8.69","24.825","NP","65.167","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-03-10,"DNS","6.6","28.4","81.95","NP","NP","0.25","NP","274.45","53.47","59.16","9.46","34.698","NP","63.917","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-04-21,"DNS","NP","33.2","81.95","NP","NP","NP","NP","134.73","20.57","32.62","7.67","4.231","NP","58.088","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-05-05,"DNS","NP","35.1","104.9","NP","NP","NP","NP","174.65","32.9","43.5","10.23","3.667","NP","64.126","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-05-12,"DNS","NP","28.1","98.34","NP","NP","NP","NP","159.68","32.9","32.62","11.51","6.206","NP","61.419","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-05-20,"DNS","NP","29.6","98.34","NP","NP","NP","NP","159.68","32.9","39.15","7.67","7.617","NP","66.208","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-05-26,"DNS","NP","27.8","98.34","NP","NP","NP","NP","159.68","32.9","36.98","16.62","8.745","NP","60.17","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-06-01,"DNS","NP","27.5","90.15","NP","NP","NP","NP","149.7","32.9","34.8","10.23","8.745","NP","61.419","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
