"LTER","Site/Stream.Name","Sampling.Date","Daily.Avg.Q.(Discharge)","Instantaneous.Q.(Discharge)","Stage.Height","Temp.C","Conductivity","Spec.Cond","Turbidity","TSS","VSS","DSi","TN","TDN","DIN","NOx","NO3","NO2","NH4","DON","TP","TDP","PO4","SRP","DOC","TOC","alkalinity","ANC","pH","DIC","Suspended.Chl","Benthic.Chl","Na","K","Ca","Mg","SO4","Cl"
"ARC ","Atigun River",2002-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.9,12.4,687.5,324.8,181.5,2.1
"ARC ","Atigun River",2002-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,NA,NA,NA,NA,NA,270.6,12.4,566.1,396.4,257.6,27
"ARC ","Camp Pond",1996-06-24,NA,NA,NA,12.4,NA,24,NA,NA,NA,4.4,36.2,NA,0.88,0.18,NA,NA,0.7,NA,NA,NA,0.16,NA,604,NA,185,NA,8.14,20.555,NA,NA,9.4,11.6,106.6,20.7,2.7,12.2
"ARC ","Camp Pond",1996-07-01,NA,NA,NA,13,NA,24.7,NA,NA,NA,4.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,NA,202,NA,7.26,15.529,NA,NA,7.6,4.8,112.7,21.8,2.5,4.4
"ARC ","Camp Pond",1996-07-10,NA,NA,NA,14,NA,28.1,NA,NA,NA,5.7,32.6,NA,0.71,0.11,NA,NA,0.6,NA,NA,NA,0.09,NA,621,NA,227,NA,7.57,14.578,NA,NA,8.1,5.34,130.2,25,2.8,4.5
"ARC ","Camp Pond",1996-07-22,NA,NA,NA,11.9,NA,31.9,NA,NA,NA,5.7,39.6,NA,2.29,0.19,NA,NA,2.1,NA,NA,NA,0.08,NA,612,NA,269,NA,6.82,49.55,NA,NA,6.3,4.15,136.6,25.9,3.3,3.6
"ARC ","Camp Pond",1996-07-29,NA,NA,NA,7.8,NA,31.8,NA,NA,NA,7.2,41.1,NA,2.4,0.2,NA,NA,2.2,NA,NA,NA,0.15,NA,597,NA,260,NA,7.1,42.827,NA,NA,6.8,3.32,147.2,28.7,4.6,3.8
"ARC ","Camp Pond",1996-08-09,NA,NA,NA,6.9,NA,33,NA,NA,NA,6,38.6,NA,1.67,0.12,NA,NA,1.55,NA,NA,NA,0.12,NA,587,NA,289,NA,7.48,28.465,NA,NA,7.4,3.08,153.8,30.1,4,4.8
"ARC ","Camp Pond",1996-08-19,NA,NA,NA,7.4,NA,36.4,NA,NA,NA,5.7,42.7,NA,0.71,0.11,NA,NA,0.6,NA,NA,NA,0.08,NA,617,NA,315,NA,7.26,24.328,NA,NA,9.1,3.48,170.1,33.9,4.4,3.4
"ARC ","Camp Pond",1997-06-17,NA,NA,NA,13,NA,18.9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.144,NA,NA,NA,457,NA,138,NA,6.99,23.207,NA,NA,6.4,5.12,83.4,16.7,2.2,3.4
"ARC ","Camp Pond",1998-07-15,NA,NA,NA,20.1,NA,33.4,NA,NA,NA,11.4,15.5,NA,0.621,0.133,NA,NA,0.488,NA,0.38,NA,0.0788,NA,NA,NA,306,NA,7.79,20.75,NA,NA,9.6,5.45,161,30.7,5.9,2.7
"ARC ","Campsite Lake",2001-07-12,NA,NA,NA,10.7,NA,43.9,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,NA,7.54,41.213,NA,NA,15.6,7.79,187.3,34.5,NA,NA
"ARC ","Campsite Lake",2006-07-06,NA,NA,NA,10.6,NA,46,NA,NA,NA,5.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,428,NA,6.91,NA,NA,0.6,14.9,7.61,195.7,39.5,NA,NA
"ARC ","Campsite Lake",2007-06-29,NA,NA,NA,14.9,NA,48.5,NA,NA,NA,6.9,5.45,NA,0.11,0.11,NA,NA,NA,NA,0.0131,NA,NA,NA,249,NA,444,NA,6.93,NA,NA,0.4,15.6,7.4,197.4,41.2,NA,NA
"ARC ","Dennis Lake Inlet",1999-07-10,NA,NA,NA,15.7,NA,80.3,NA,NA,NA,31.4,13.6,NA,2.3,2.3,NA,NA,NA,NA,NA,NA,0.0271,NA,381,NA,747,NA,8.36,44.0985,NA,NA,21,6.1,363.4,78,15.3,3.3
"ARC ","Duckling Lake outlet",1999-07-10,NA,NA,NA,18.1,NA,34.8,NA,NA,NA,9.1,28,NA,0.14,0.14,NA,NA,NA,NA,NA,NA,0.0411,NA,700,NA,284,NA,7.82,74.59,NA,NA,18.5,3.06,142.4,51,14.2,2.3
"ARC ","E 01 Inlet",1995-07-14,NA,NA,NA,10.7,NA,28,NA,NA,NA,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,190,NA,6.8,NA,NA,NA,12.9,0.685,100.5,27.7,4.5,0.5
"ARC ","E 01 into Toolik",2004-06-24,NA,NA,NA,11.9,NA,79.2,NA,NA,NA,37.2,10.7,NA,3.24,3.24,NA,NA,NA,NA,0.0256,NA,NA,NA,1004,NA,752,NA,7.38,27.0531,NA,0.2,18.6,3.13,309.9,73.4,9.5,1.6
"ARC ","E 01 into Toolik",2004-07-01,NA,NA,NA,15.1,NA,93.3,NA,NA,NA,41.1,11.8,NA,4.3,4.3,NA,NA,NA,NA,0.0198,NA,0.0538,NA,285,NA,885,NA,7.53,24.0588,NA,0.1,21.2,3.97,374.9,85.3,11.9,1.3
"ARC ","E 01 into Toolik",2004-07-08,NA,NA,NA,9.4,NA,49.3,NA,NA,NA,49.4,13.5,NA,1.45,1.45,NA,NA,NA,NA,0.0365,NA,0.0511,NA,496,NA,596,NA,8.23,0.0332,NA,0.2,16.9,2.11,269.9,62.1,7.6,0.9
