"Year","Month","Year_Month","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC"
1963,"06","1963-06",6.711,2.19,0.35,0.05,0.92,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"07","1963-07",0.615,2.15,0.37,0.08,0.93,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"08","1963-08",1.191,2,0.4,0.3,1.12,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"09","1963-09",0.112,1.95,0.48,1.32,1.41,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"10","1963-10",0.809,1.95,0.48,1.32,1.41,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"11","1963-11",79.892,2.27,0.45,0.48,0.84,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1963,"12","1963-12",58.552,1.63,0.4,0.28,0.83,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"01","1964-01",58.165,1.73,0.39,0.22,0.98,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"02","1964-02",19.701,1.76,0.39,0.23,0.95,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"03","1964-03",103.268,1.79,0.42,0.31,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"04","1964-04",247.865,1.75,0.38,0.3,0.71,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"05","1964-05",71.05,1.9,0.38,0.23,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"06","1964-06",3.352,1.49,0.37,0.16,0.81,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"07","1964-07",4.944,1.48,0.37,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"08","1964-08",10.142,1.48,0.37,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"09","1964-09",0.725,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"10","1964-10",3.231,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"11","1964-11",48.422,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,"12","1964-12",81.706,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"01","1965-01",24.589,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"02","1965-02",27.137,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"03","1965-03",46.874,1.48,0.36,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"04","1965-04",162.599,1.48,0.37,0.18,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"05","1965-05",29.1,1.42,0.37,0.22,0.85,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"06","1965-06",8.24,1.3,0.38,0.07,0.95,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,"07","1965-07",2.223,1.5,0.38,0.06,0.99,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0064,5.19,27.02,-888.888
1965,"08","1965-08",0.219,1.35,0.42,0.04,1.23,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0182,4.74,29.73,-888.888
1965,"09","1965-09",33.313,1.62,0.42,0.04,1.11,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0077,5.11,31.18,-888.888
1965,"10","1965-10",72.819,1.67,0.39,0.18,0.82,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0069,5.16,31.69,-888.888
1965,"11","1965-11",85.435,1.53,0.41,0.2,0.88,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0099,5,28.9,-888.888
1965,"12","1965-12",27.472,1.64,0.42,0.17,0.96,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0106,4.97,25.8,-888.888
1966,"01","1966-01",39.504,1.72,0.44,0.19,0.89,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0099,5,26.5,-888.888
1966,"02","1966-02",19.259,1.75,0.44,0.2,1.01,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0086,5.06,25.53,-888.888
1966,"03","1966-03",136.094,1.68,0.44,0.24,0.87,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0105,4.98,26.23,-888.888
